Brand,Country,Purchasing Practice,Gender and Racial Equality,Sustainable Sourcing and Material,Overconsumption Waste and Circularity,Water and Chemical,Climate Change and Biodiversity,Score,Points,,,,
Kmart Australia,Australia,17,5,8,4,9,10,53,196,21,78%,No match,Correct score but due to - score here is for Kmart
Target Australia,Australia,17,5,8,4,9,10,53,196,53,78%,No match,
OVS,Italy,20,4,8,8,7,9,56,195.5,196,78%,No match,
H&M,Sweden,17,3,7,6,4,14,51,164.75,29.75,66%,No match,Corrected this on brand tracking doc as was incorrect
The North Face,USA,3,6,9,5,6,10,39,164.5,164.25,66%,No match,
Timberland,USA,3,6,9,5,6,10,39,164.5,34,66%,No match,
Vans,USA,3,6,8,3,6,10,36,161.5,162.25,65%,No match,
United Colors of Benetton,Italy,10,2,7,7,5,3,34,158,149.25,63%,No match,
Gildan,Canada,8,3,3,1,4,9,28,156,12.25,62%,No match,This is score for Gerry Weber
C&A,Netherlands,6,2,9,5,4,10,36,147.75,162.75,59%,No match,Corrected in brand tracking doc - was 167.75 in brand tracking doc - check questionnaire
Gucci,Italy,14,5,7,7,8,16,57,147.5,95.25,59%,No match,Updated based on Final review
Puma,Germany,11,1,6,2,7,16,43,146,127,58%,No match,
Dressmann,Norway,4,2,9,3,1,6,25,143,38.25,57%,No match,
Zeeman,Netherlands,16,3,6,2,0,2,29,143,96,57%,No match,Updated based on Wikirate comment
Calvin Klein,USA,5,4,4,4,6,6,29,140.75,147.5,56%,No match,
Tommy Hilfiger,USA,5,4,4,4,6,6,29,140.75,67.75,56%,No match,
Esprit,Germany,6,1,8,5,3,4,27,140.5,93,56%,No match,Updated based on Wikirate comment
UGG,USA,4,2,7,5,5,11,34,139,136.25,56%,No match,
Calzedonia,Italy,7,5,4,6,3,9,34,134.75,26.75,54%,No match,
Intimissimi,Italy,7,5,4,6,3,9,34,134.75,84.25,54%,No match,
Tezenis,Italy,7,5,4,6,3,9,34,134.75,164.25,54%,No match,
Converse,USA,5,4,9,6,5,10,39,133.5,62.25,53%,No match,
Jordan,USA,5,4,9,6,5,10,39,133.5,66.25,53%,No match,
Nike,USA,5,4,9,6,5,10,39,133.5,138.5,53%,No match,
Fendi,France,0,2,8,6,3,13,32,133.25,0.5,53%,No match,
Lululemon,Canada,5,5,9,6,2,11,38,129.75,57.25,52%,No match,Corrected value in brand tracking doc based on questionnaire
